7:29,224,1023,331,899,70405,302,2734,21911,2108£¬
3167:76,96,42089,15180,26131,2068,8199,1730,10039,17093,
3169:21632,24836,55604,931,7961,116834,70669,91541,301,70407,
3170:104068,35818,17,302,654,76,616,58,8,866,
3172:51977,89633,97518,19416,2024,37725,554,73779,79109,120911,
3176:866,84,1553,58,19886,354,301,802,13055,4996,
3183:1651,8783,8384,7194,6901,63771,6299,60434,57952,46620,
3184:108727,111704,14452,5145,53060,8935,1784,10175,12119,7418,
3193:58,518,138,354,8,902,483,273,6,859,
3195:17,302,654,76,616,58,8,866,84,29,
3220:19886,3234,650,118641,866,1535,43752,5702,3223,736,
3229:9396,6673,53452,42170,39433,345,33118,301,1790,17706,
3234:13684,229,29183,872,65788,493,354,327,302,29,
3237:54099,17302,94914,88750,77678,69730,6536,58923,41101,35916,
3238:102141,106043,111668,119,3039,41539,4728,57068,68087,17,
3239:17,17839,1357,4008,616,87289,1046,111614,1136,1403,
3246:11478,11681,17835,36565,109455,36865,51638,74499,17,302,
3258:8,564,84,483,542,58,114,356,1239,654,
3263:17,302,654,76,616,58,8,866,84,29,
3264:17,302,654,76,616,58,8,866,84,29,
3277:104241,17,302,654,76,616,58,8,866,84,
3279:17,1102,8546,84,720,6249,5711,501,29,246,
3295:96,83739,91852,17,302,654,76,616,58,8,
3305:100879,110485,13532,3030,30848,39695,17,302,654,76,
3306:9557,31739,7165,35660,16406,8927,9797,6901,63514,6117,
3308:32,873,117430,67503,656,60899,2733,542,35248,94318,
3309:29,302,616,861,1196,84,736,483,1690,331,
3319:17,302,654,76,616,58,8,866,84,29,
3320:3370,6754,12761,176,7148,9737,13995,16253,3196,58407,
3328:354,486,6457,111158,4662,115235,29,84,301,58,
3329:17,302,654,76,616,58,8,866,84,29,
3335:654,2618,70,14617,3429,402,65,61337,58183,33991,
3346:1113,1127,16017,20471,3358,80439,17,302,654,76,
3352:17,25027,3753,45295,7827,17,302,654,76,616,
3353:16624,16385,108422,1099,11588,67872,33952,27811,2934,31823,
3360:866,361,97,86717,736,70742,654,59211,302,2939,
3374:40464,64045,674,1744,24012,295,3191,8398,859,17,
3376:226,262,3374,3423,500,986,14171,76278,98686,1097,
3383:105055,21372,17,302,654,76,616,58,8,866,
3386:14336,12253,10682,4203,14750,28120,24569,48901,11003,4075,
3411:9536,20119,564,64499,656,13009,240,542,5025,5582,
3412:6921,129,1007,107299,88275,79323,2051,21113,78657,56533,
3413:1760,13016,1340,1744,42017,35998,3976,11928,9535,3506,
3416:4755,24310,36576,39742,6706,4825,10041,17647,1923,2880,
3419:866,650,238,17,3160,32,322,354,3563,361,
3421:17,62,542,902,1499,6790,409,656,6485,45,
3423:104068,119323,119768,2680,30372,67418,17,302,654,76,
3426:17,302,654,76,616,58,8,866,84,29,
3428:8,542,1126,58,7849,303,9185,31745,3223,3484,
3429:302,944,654,224,8,2687,5715,650,2557,937,
3431:3225,1730,47290,80576,17,302,654,76,616,58,
3432:17,302,654,76,616,58,8,866,84,29,
3450:50344,17,302,654,76,616,58,8,866,84,
3453:101987,103435,10584,32818,3708,49205,67544,73794,85374,97229,
3475:1048,117622,3461,5325,7210,7774,7901,7990,116,17,
3478:736,2618,301,101,84,322,2338,358,837,289,
3479:72699,22719,78698,44407,9437,71689,650,86384,7682,84706,
3480:17,110640,15573,1650,40,6558,898,966,17,302,
3490:17,358,1344,96,6485,354,1685,1995,84,859,
3500:616,103,518,289,363,861,2018,1403,554,2369,
3514:302,736,301,692,947,908,3160,16383,866,2021,
3529:17,302,654,76,616,58,8,866,84,29,
3546:17,302,654,76,616,58,8,866,84,29,
3547:654,302,616,21144,4502,560,81,78847,780,354,
3551:19972,226,25205,86940,17,302,654,76,616,58,
3557:36424,9486,9417,8860,7994,719,6772,66083,5488,5480,
3572:29630,31775,60680,110194,138,17,87374,901,81034,76,
3579:29,17,1896,56145,58,62193,650,902,2734,354,
3580:14635,730,17,302,654,76,616,58,8,866,
3593:273,29,116,138,2031,23250,26058,26369,37306,84,
3599:1546,683,6772,8216,719,229,9332,718,2512,3125,
3609:226,358,1462,361,17,302,654,76,616,58,
3610:8199,168,25104,66644,8384,947,10316,262,35653,866,
3613:112109,100877,107830,17,302,654,76,616,58,8,
3628:17,327,500,616,9979,76,53730,35305,1696,15838,
3656:14808,20916,238,27227,356,43441,873,94578,17,302,
3657:58,1102,1553,1693,17,3234,138,1476,2491,7802,
3663:58,224,564,301,1119,1102,430,447,394,65,
3674:1102,58,409,8,322,736,861,3101,483,84,
3684:9877,6901,2414,18102,17990,10236,568,726,698,616,
3685:13126,1501,76,89375,17,302,654,76,616,58,
3686:5292,3214,81,3599,14635,5767,88124,46540,1326,25230,
3692:10415,17,2272,3751,495,17,302,654,76,616,
3694:327,4967,17,302,654,76,616,58,8,866,
3701:518,301,354,650,11154,1119,114,1762,483,486,
3702:11349,2008,20743,24600,3159,5613,63968,17,302,654,
3717:285,58,65,496,84,364,564,510,554,262,
3721:654,84,866,2369,26014,2644,32715,46248,47011,58,
3728:1069,108265,12216,14651,22555,29384,4427,44996,53016,56414,
3735:8,29,138,2868,239,6,902,60,1305,1239,
3736:84,1102,302,8,58,650,654,29,1119,616,
3737:138,40,7194,83612,17,302,654,76,616,58,
3751:10454,901,8232,803,8,54577,483,3213,28857,2692,
3752:25261,17,302,654,76,616,58,8,866,84,
3800:7535,3250,54155,542,803,675,8213,510,3233,45561,
3811:117938,8443,15545,19561,66796,36815,62094,55891,54909,97,
3820:17,354,518,8,94,1462,70,866,2734,58,
3840:654,866,354,8,1102,11506,138,4996,2734,58,
3846:1595,654,673,10279,1567,1168,398,162,176,289,
3849:866,138,70,224,650,675,19886,749,2734,3234,
3850:354,224,654,29,1099,65625,6,714,76,361,
3857:239,395,31242,899,394,4017,5567,6284,354,4702,
3859:9142,1136,3431,3582,510,2944,301,302,354,364,
3862:10722,12861,14273,22222,302,4364,4585,54466,24181,283,
3888:7468,92079,86391,13,13016,27322,7622,7630,403,15535,
3911:10615,301,17,302,654,76,616,58,8,866,
3921:81,986,780,2241,500,3756,3498,16680,8511,81222,
3929:698,6249,70,117,55272,7104,115266,5550,8981,5433,
3930:2548,5766,14793,465,96639,6692,157,48930,4708,3288,
3934:17084,33373,31149,226,6823,38291,38848,40743,5111,55002,
3947:53715,736,518,53145,354,58,616,650,6503,84,
3950:301,84,654,8,138,2687,5715,3661,3703,518,
3962:58,302,43685,12818,62849,17,302,654,76,616,
3974:7008,2303,8258,81362,103304,38716,42150,1677,11309,26490,
3975:17,518,6303,122254,26124,53497,87361,19354,32690,3561,
3988:986,81,4048,226,348,3501,68278,4194,780,500,
4001:17,302,654,76,616,58,8,866,84,29,
4006:10217,30522,51064,1927,301,39475,5969,87599,8880,17,
4007:226,81,986,26070,84626,17,302,654,76,616,
4008:17,302,654,76,616,58,8,866,84,29,
4009:54659,542,54,53636,5356,5290,5286,518,5176,51739,
4028:1344,8511,17,302,654,76,616,58,8,866,
4031:12150,219,27642,363,7311,104068,17,302,654,76,
4035:17,2714,2696,3207,2403,1827,774,45,2429,65386,
4053:182,17,302,654,76,616,58,8,866,84,
4064:28473,302,861,866,17,302,654,76,616,58,
4067:58,17,28473,3432,3484,3867,388,4697,508,5414,
4068:87795,76448,84,60868,35233,100892,21056,302,3531,891,
4069:354,1102,650,736,1762,518,899,224,289,138,
4075:17,302,654,76,616,58,8,866,84,29,
4076:87178,25271,91878,31273,46579,65579,44898,2139,39934,19551,
4084:17,654,568,33599,861,15583,15,1393,12223,10800,
4091:245,2958,2733,605,65956,53441,5262,9354,21535,2031,
4098:14657,6456,15228,4864,18386,3900,11450,37149,9041,20861,
4103:564,10274,45,1069,654,866,17,302,654,76,
4104:10274,45,568,1069,736,10,12586,24536,285,33822,
4124:13660,3937,4,5613,719,17,302,654,76,616,
4132:616,542,8,654,86,58,902,394,17,564,
4134:12084,111949,122533,202,44239,33892,34013,79740,24038,79911,
4138:1195,84,17,1756,2265,106498,16442,378,48889,946,
4140:17,302,654,76,616,58,8,866,84,29,
4149:17,302,654,76,616,58,8,866,84,29,
4158:13049,15337,4616,90254,17,302,654,76,616,58,
4164:17,2162,106498,84,16442,48889,378,875,70,654,
4167:36331,42426,8968,53332,899,17,302,654,76,616,
4171:111964,57427,73510,931,8211,18953,18143,9289,13407,5522,
4177:17612,38395,1069,17,302,654,76,616,58,8,
4179:17,5791,102697,112293,29134,60675,79083,952,17,302,
4184:616,301,2618,866,1240,59117,43617,57109,84,81031,
4190:108157,20154,31469,35640,50100,70490,17,302,654,76,
4209:38904,1164,866,61418,45182,361,88331,83954,74525,6694,
4210:41418,486,51829,5607,5746,58,62171,6289,6351,6513,
4211:100732,108608,28789,43926,4600,88132,91309,17,302,654,
4213:654,302,902,483,1102,787,138,84,736,542,
4223:17,302,654,76,616,58,8,866,84,29,
4237:518,4442,85126,301,354,650,11154,1245,616,1220,
4242:1550,378,44577,17,302,654,76,616,58,8,
4248:83762,32758,29509,39946,25889,88504,16247,61489,25152,22269,
4249:17,302,654,76,616,58,8,866,84,29,
4265:121407,73710,616,866,75536,58,302,29,24055,193,
4269:17,29,84,58,354,1102,866,361,47076,19421,
4273:1462,70,10039,1089,25230,302,5097,654,542,60158,
4275:17,2162,2715,3704,654,8,931,273,29,696,
4277:17,654,58,8,1136,4174,2868,2361,6923,447,
4281:58,17,29,302,285,736,650,76,554,190,
4301:17,1102,84,302,361,354,29,866,654,76,
4303:1126,616,7849,803,1069,21163,94605,17,302,654,
4304:302,301,1102,138,358,65,518,1119,8,94,
4344:3191,17,302,654,76,616,58,8,866,84,
4353:13741,24463,94478,17,302,654,76,616,58,8,
4357:17,302,654,76,616,58,8,866,84,29,
4365:2318,17,302,654,76,616,58,8,866,84,
4371:6507,15727,8959,73971,67872,571,931,245,43103,11625,
4372:1190,2609,361,6733,70742,8,17,302,654,76,
4399:17,84,58,518,1102,483,273,1614,1097,1937,
4400:853,3249,22980,13294,40390,27293,3657,24968,2266,11209,
4407:28862,331,6,650,113681,1476,22192,4573,859,962,
4424:14602,47755,83937,44885,12222,76002,40543,46978,55410,56364,
4426:4455,50294,29047,12906,85105,42487,95591,8764,35303,120437,
4436:12699,358,4156,7006,116,8983,17,302,654,76,
4453:4273,4755,49208,500,50931,5398,5450,56396,58407,69759,
4457:17,302,654,76,616,58,8,866,84,29,
4458:18708,6491,7901,10046,27367,4456,46112,8213,9101,17910,
4466:17,84,70,114518,78574,138,1462,224,73635,301,
4469:654,542,15583,568,162,285,17,199,94,84,
4482:302,58,322,162,17,395,736,1136,29,3,
4507:564,654,2618,302,616,327,51767,866,1046,11632,
4514:24467,88492,7523,13988,45123,28615,2100,219,546,27189,
4517:354,650,1102,58,224,518,302,29,54530,39808,
4519:1239,3223,27460,107592,37309,6130,17,359,49928,18722,
4522:26509,214,3522,40840,15163,1332,1528,26525,6223,54390,
4530:121944,46379,101048,11142,16180,654,2326,32721,7497,17,
4537:40356,7649,68179,186,22713,45641,17,302,654,76,
4543:17,58,94774,43685,5509,17,302,654,76,616,
4562:50344,17,302,654,76,616,58,8,866,84,
4578:17,6,10859,11842,29,70,73635,17,302,654,
4588:17,194,6708,31397,54496,58,616,17,302,654,
4618:4487,1126,245,12061,4268,11,7869,379,70609,38875,
4633:8977,35545,21206,100082,81381,82785,16487,7098,68023,101124,
4637:3926,8764,35303,986,35703,80020,79749,69811,25990,100737,
4640:6,58,84,7609,71933,54093,32927,3223,29,289,
4641:189,6706,12990,4825,46341,1923,93630,8848,113702,79276,
4642:59623,15,2018,61,35143,4133,91049,7698,72144,64909,
4651:14187,72072,17,302,654,76,616,58,8,866,
4665:58,354,8,616,986,953,9453,84,6664,654,
4666:4479,17,302,654,76,616,58,8,866,84,
4682:22920,931,14714,37778,7680,95041,82008,698,5670,380,
4687:736,1539,41466,34383,285,302,94,902,7828,58,
4692:17,302,654,76,616,58,8,866,84,29,
4696:17,302,654,76,616,58,8,866,84,29,
4702:13617,5197,67691,3509,60121,83972,7386,72788,47507,36929,
4730:1462,1535,394,59211,6457,7132,17,302,654,76,
4736:1187,48,70,875,17,302,654,76,616,58,
4745:302,17,84,301,289,518,736,564,62,554,
4749:67521,17,302,62547,35352,37448,17,302,654,76,
4751:25910,8167,3477,45095,81,3126,2967,14841,76321,1888,
4760:17,302,654,76,616,58,8,866,84,29,
4762:17,302,654,76,616,58,8,866,84,29,
4767:12332,10048,367,83588,22002,62145,59005,47291,81,80267,
4774:354,866,650,70,892,518,2076,2151,27871,2734,
4779:18056,8543,813,45562,132,67110,5882,15433,11966,7974,
4788:518,1102,301,736,654,302,866,361,2512,10442,
4789:17,302,654,76,616,58,8,866,84,29,
4794:14628,25314,4240,42608,45041,26541,16616,70182,30734,101799,
4796:17,302,654,76,616,58,8,866,84,29,
4797:94,518,1102,736,859,1550,2626,363,564,2338,
4802:1551,224,34383,59219,650,81,1200,12695,20506,84785,
4816:17,104693,63090,99855,85885,67370,54336,48921,47934,32945,
4831:16869,1709,285,354,542,873,17,302,654,76,
4834:245,1119,363,302,616,103,18722,518,58,17,
4852:2303,81362,8258,103304,38716,82452,4589,3514,53416,107013,
4863:35143,61,85303,2018,4133,60793,91049,21052,11229,2200,
4870:17,302,654,76,616,58,8,866,84,29,
4875:1451,311,6451,67831,17,302,654,76,616,58,
4889:866,8,736,650,518,1102,361,65,11506,70,
4894:4880,698,17403,225,2602,15669,62347,40,9323,890,
4898:17,302,654,76,616,58,8,866,84,29,
4910:17,302,654,76,616,58,8,866,84,29,
4919:17,76,2316,138,2831,302,58,616,654,962,
4926:1567,34383,17,302,654,76,616,58,8,866,
4934:4600,17,302,654,76,616,58,8,866,84,
4935:7173,16191,17921,1521,54302,1410,14003,12783,122982,4364,
4944:17,302,654,76,616,58,8,866,84,29,
4946:17,302,654,76,616,58,8,866,84,29,
4949:9354,8454,40,84167,654,104812,7624,24348,6733,37725,
4951:11349,2008,20743,24600,3159,5613,61672,63968,17,302,
4956:1044,1673,46739,60072,105510,11902,1302,1913,226,2265,
4961:17,302,654,76,616,58,8,866,84,29,
4984:4826,11108,1318,205,236,244,2512,25826,2618,2665,
4986:17,1089,155,1709,3824,736,9146,9289,108843,1449,
4991:17,302,654,76,616,58,8,866,84,29,
4992:119576,29,859,17,302,654,76,616,58,8,
4998:17,10247,1245,20440,29,29378,302,58,73635,861,
5001:354,76,17,616,58,285,736,1102,15,2326,
5002:6503,26849,5502,13889,33774,8660,17185,21405,43021,44975,
5006:17,302,654,76,616,58,8,866,84,29,
5007:108358,17,5738,61338,7623,16669,336,17,302,654,
5011:3548,698,802,117347,115725,8167,96,34773,19551,65579,
5015:2268,65,1106,15657,2048,285,4268,73281,787,96797,
5018:5462,41706,120840,226,4702,48701,9770,122577,211,296,
5031:58,2618,302,13141,301,354,650,6503,76,84,
5039:1002,3506,16036,1340,14955,18783,4696,24838,31492,441,
5040:302,17,654,568,402,94,510,15,447,224,
5047:18285,268,3001,616,107063,19428,29865,33857,4600,596,
5048:238,37248,17,302,654,76,616,58,8,866,
5079:354,84,58,114518,78574,4996,8,138,1462,224,
5086:102988,43196,64062,17,302,654,76,616,58,8,
5088:1419,1721,289,650,7105,17,302,654,76,616,
5089:85783,910,99240,17,302,654,76,616,58,8,
5090:99952,91608,59017,57521,41570,33941,30472,13408,121610,117859,
5097:107155,12059,15143,34384,17,302,654,76,616,58,
5107:787,35469,1471,254,262,361,358,354,866,9106,
5108:17,302,654,76,616,58,8,866,84,29,
5119:16592,518,5998,902,108075,327,736,115645,116615,39732,
5120:17,302,654,76,616,58,8,866,84,29,
5129:11760,17,302,654,76,616,58,8,866,84,
5147:58,108533,12090,18903,37600,654,873,1102,49127,28473,
5148:17,302,654,76,616,58,8,866,84,29,
5176:101,1089,17,302,654,76,616,58,8,866,
5180:105809,109445,167,2675,2992,17,302,654,76,616,
5188:120956,30105,17,302,654,76,616,58,8,866,
5202:17,302,654,76,616,58,8,866,84,29,
5207:33239,29017,58113,47534,102450,105497,105986,94411,16671,81304,
5208:17,866,73635,6,495,54093,7609,84,138,224,
5214:119,17,1965,245,36419,60391,62207,65377,6673,17,
5217:17,302,654,76,616,58,8,866,84,29,
5247:17,302,654,76,616,58,8,866,84,29,
5271:36535,75582,37610,3850,44920,47187,5150,53373,56922,58549,
5276:73638,47134,37455,19929,20963,20744,58142,36752,32280,24981,
5279:17,302,29,8,1462,736,650,58,224,289,
5288:8,17,302,654,76,616,58,8,866,84,
5294:2162,875,15242,208,873,113167,4364,472,46216,44716,
5299:616,58,10785,2953,4536,429,44526,483,486,4904,
5300:44923,1102,15403,17,2557,2876,354,358,4422,5303,
5306:106304,11718,27448,33231,59719,654,9462,17,302,654,
5307:17,302,654,76,616,58,8,866,84,29,
5309:10384,1050,518,22136,6258,48,1276,5568,24041,13150,
5323:724,25412,103121,650,6189,82586,236,70927,1764,93514,
5325:99343,16073,68501,100151,105630,62270,89362,8611,20618,43037,
5329:4420,736,17,70,19904,26312,10256,1594,4299,17665,
5335:354,493,872,105354,109725,12160,787,17,302,654,
5358:226,102141,106043,3039,41539,4728,57068,5857,17,302,
5361:17,6030,13704,2338,29,8445,1476,15,518,6598,
5364:1992,21442,49507,7450,34127,67430,17721,24655,35283,35877,
5378:302,354,8,66,2030,1762,138,29,182,190,
5385:866,361,138,322,944,14464,2967,93469,6397,736,
5387:17,6,66,73635,952,859,692,581,4522,4456,
5397:29,224,354,361,866,1535,17146,966,616,73635,
5398:654,302,692,71206,104934,866,8213,14910,15,285,
5403:101,58,6303,289,4374,1240,866,654,29,917,
5425:554,17,1089,168,352,10198,12282,14314,7899,74612,
5433:354,654,1001,899,224,3329,361,407,4326,273,
5434:17,302,654,76,616,58,8,866,84,29,
5435:101,1102,5998,1410,17,1127,6096,5708,5280,66395,
5436:354,111058,123170,398,4275,302,654,1164,1822,3184,
5438:4032,29978,224,229,65,422,1102,650,6439,302,
5449:17,302,654,76,616,58,8,866,84,29,
5455:910,114033,378,429,4421,48,500,508,5122,518,
5456:15927,31961,441,50387,51185,60593,17,302,654,76,
5458:98019,79533,76320,616,4856,4715,441,37196,27688,12094,
5462:114679,1190,1539,2200,59453,67850,755,8,17,302,
5472:16404,22597,12116,16286,2241,262,3423,34595,3498,3846,
5474:302,138,70,84,5582,56204,653,4049,736,3348,
5477:17,302,654,76,616,58,8,866,84,29,
5478:31037,17,302,654,76,616,58,8,866,84,
5479:6849,17,302,654,76,616,58,8,866,84,
5480:58,564,301,8,1693,13044,182,35305,3223,63684,
5499:3939,3718,6254,48106,140,2700,6395,6521,3309,6108,
5500:99656,96442,90787,90243,84530,79221,65045,63192,56320,54464,
5502:102122,17,85435,17,302,654,76,616,58,8,
5512:2566,25783,25803,27999,8,301,3142,32,34833,787,
5527:138,4702,65,76,17,302,654,76,616,58,
5529:17,302,654,76,616,58,8,866,84,29,
5530:500,394,486,3711,11444,38471,128,1305,1473,15573,
5535:17,302,654,76,616,58,8,866,84,29,
5536:67074,100652,34450,63459,1551,17227,94105,84195,69594,16820,
5542:17,302,654,76,616,58,8,866,84,29,
5551:11446,15542,27080,302,56363,17,302,654,76,616,
5562:17,302,654,76,616,58,8,866,84,29,
5580:654,302,58,2674,76165,99556,18100,1239,518,13673,
5584:17,302,654,76,616,58,8,866,84,29,
5601:17,58,138,1102,62,84,902,483,4174,226,
5611:84870,80446,76099,74161,69591,6855,673,5889,46146,45876,
5632:654,302,736,58,17,224,238,966,394,1220,
5640:38974,77518,109245,1164,9646,98679,17,302,654,76,
5644:17,302,654,76,616,58,8,866,84,29,
5645:76,2583,17,128,1382,659,2292,65,4478,347,
5656:229,29183,787,1535,76,431,301,364,5998,518,
5666:5457,236,7795,11724,3448,30592,10014,8861,12253,14750,
5683:4877,13567,69805,19962,45986,8860,1528,661,2642,3709,
5691:17,302,654,76,616,58,8,866,84,29,
5696:1555,354,6923,650,5996,568,47720,33489,32,3148,
5702:616,21144,4502,560,650,966,70,73635,301,3223,
5707:1352,3107,24581,8225,3172,6601,1527,3704,1712,2880,
5717:9189,40568,1076,8392,12507,10175,10722,29922,12861,70536,
5718:1119,1884,301,719,76,17,302,654,76,616,
5721:4275,40841,2097,98196,5407,48002,431,2464,24333,8,
5722:1344,7611,696,654,6503,64066,5858,8,5010,496,
5741:1462,224,285,650,675,736,6397,48,93412,27134,
5765:21794,568,17,302,654,76,616,58,8,866,
5766:6906,101910,20416,120,42870,9095,17,302,654,76,
5780:17,81,564,62,285,1102,356,736,322,1245,
5784:17,302,654,76,616,58,8,866,84,29,
5788:3591,1730,28577,47847,719,74483,18709,41373,17,302,
5798:17,302,654,76,616,58,8,866,84,29,
5803:1102,29,736,76,289,138,65,8,1119,245,
5817:17,58,84,1462,1102,224,94,650,289,568,
5822:1097,2614,44325,17812,24348,28244,3241,39124,47377,72545,
5834:14566,8783,17,302,654,76,616,58,8,866,
5858:984,719,7711,168,2103,2642,23569,5488,7994,801,
5863:101717,12663,35169,81594,17,302,654,76,616,58,
5864:486,17,60893,302,327,33554,7497,17,302,654,
5865:90360,2406,5693,74238,31895,19872,14109,9289,120460,59396,
5866:226,2582,35229,17,302,654,76,616,58,8,
5876:185,24738,2838,2360,6812,2200,16514,8,3618,67790,
5884:17,302,654,76,616,58,8,866,84,29,
5890:117982,17,26967,63373,17,302,654,76,616,58,
5891:17,302,654,76,616,58,8,866,84,29,
5892:17,302,654,76,616,58,8,866,84,29,
5894:17,302,654,76,616,58,8,866,84,29,
5896:118550,119275,43442,6779,65127,14817,40667,41398,4342,4499,
5904:91431,11152,95617,92712,2265,98932,93649,5117,47283,35989,
5905:17,302,654,76,616,58,8,866,84,29,
5922:1102,301,58,650,6503,736,76,8,24150,654,
5923:616,83241,17,302,654,76,616,58,8,866,
5943:118101,194,27808,2890,11887,17,36518,40,42301,17,
5947:10860,108822,121824,13683,17342,39828,48966,65522,103225,29457,
5956:289,8,58,94,650,554,787,654,15,101,
5964:101,58,289,182,542,616,162,1804,62,4374,
5978:4146,6545,76692,6117,2857,6901,69474,9843,44385,21028,
5990:87258,14920,14732,4851,245,83983,13736,88829,1887,51026,
5994:15777,19135,63574,64804,17,302,654,76,616,58,
6001:40,5738,61078,62292,9388,168,5480,17,302,654,
6002:11309,32798,29849,837,866,88824,46949,81709,92724,17,
6013:5956,12236,12435,3265,1878,167,18293,11234,322,15105,
6018:327,354,6455,953,110597,122908,146,22468,4249,81890,
6020:18975,5053,17,302,654,76,616,58,8,866,
